x,y,z
1.89684994,-1.13E-05,1.56761017
-1.89684994,1.13E-05,1.56761017
5.13E-06,1.89660277,1.56674023
-5.13E-06,-1.89660277,1.56674023
-4.13041504,8.20E-07,-2.35543633
4.13041504,-8.20E-07,-2.35543633
4.40E-06,-4.13074736,-2.35609792
-4.40E-06,4.13074736,-2.35609792
-1.8444126,-2.35E-06,-1.10418585
1.8444126,2.35E-06,-1.10418585
1.24E-06,-1.84454907,-1.10549034
-1.24E-06,1.84454907,-1.10549034
-1.84065052,-2.50E-06,4.15369186
1.84065052,2.50E-06,4.15369186
8.30E-07,-1.83559451,4.15281107
-8.30E-07,1.83559451,4.15281107
-4.10421643,5.00E-07,0.22386797
4.10421643,-5.00E-07,0.22386797
1.22E-06,-4.10408361,0.22321915
-1.22E-06,4.10408361,0.22321915
-1.90290912,0.01511228,-1.01875478
1.902909,-0.01511224,-1.01875821
-0.01087046,-1.40466504,0.17558055
0.0108699,1.40466613,0.17557879
-1.95706089,0.01469914,-3.63692614
1.95705535,-0.01469942,-3.63691591
-0.01015644,-1.31485236,-2.449547
0.01015902,1.31485376,-2.44954549
-1.37287646,0.00892503,4.26689332
1.37287646,-0.00892671,4.26689323
-0.01234249,-1.94121464,5.35746917
0.01234254,1.94121596,5.35747135
1.6972954,-0.01226218,1.64168185
-1.69729547,0.0122621,1.64168178
0.01158548,1.69851603,2.76987665
-0.01158547,-1.6985159,2.76987848
3.19952588,-0.0252979,-5.89094847
-3.19952219,0.02529792,-5.89094162
0.03141451,3.60702874,-1.21533366
-0.03141457,-3.6070307,-1.21533385
4.07272589,-0.00211158,-1.31636029
-4.07272589,0.00211158,-1.31636029
-0.00231751,4.11817623,-1.29722086
0.00231751,-4.11817623,-1.29722086
-4.11792229,0.00209361,1.29745972
4.11792229,-0.00209361,1.29745972
0.00241444,-4.07327161,1.31659883
-0.00241444,4.07327161,1.31659883
-1.81205472,0.00035345,-2.63464312
1.81205472,-0.00035345,-2.63464312
-0.00014284,-1.90550494,-2.6986215
0.00014284,1.90550494,-2.6986215
1.8453623,-0.00019099,0.03621126
-1.8453623,0.00019099,0.03621126
0.00021575,1.84584349,-0.03597961
-0.00021575,-1.8458435,-0.03597961
1.90538579,-0.00023963,2.69867229
-1.90538579,0.00023964,2.69867229
0.00039068,1.81188527,2.63388328
-0.00039068,-1.81188527,2.63388328
-4.4042007,0,-1.63202866
4.4042007,0,-1.63202866
0,-4.4042007,-1.63202866
0,4.4042007,-1.63202866
3.34404482,0,3.0999173
-3.34404482,0,3.0999173
0,3.34404482,3.0999173
0,-3.34404482,3.0999173
1.83611451,0,-1.93594939
-1.83611451,0,-1.93594939
0,1.83611451,-1.93594939
0,-1.83611451,-1.93594939
-2.92858922,0,0.49949558
2.92858922,0,0.49949558
0,-2.92858922,0.49949558
0,2.92858922,0.49949558
1.3220928,1.3220928,2.12053232
-1.3220928,-1.3220928,2.12053232
-1.3220928,1.3220928,2.12053232
1.3220928,-1.3220928,2.12053232
4.14046789,0,1.55719021
-4.14046789,0,1.55719021
0,4.14046789,1.55719021
0,-4.14046789,1.55719021
-1.83604901,0,2.72433894
1.83604901,0,2.72433894
0,-1.83604901,2.72433894
0,1.83604901,2.72433894
3.55257712,0,-2.19502835
-3.55257712,0,-2.19502835
0,3.55257712,-2.19502835
0,-3.55257712,-2.19502835
1.99840771,0,0.05002162
-1.99840771,0,0.05002162
0,1.99840771,0.05002162
0,-1.99840771,0.05002162
-1.31918808,-1.31918808,-2.13652242
1.31918808,1.31918808,-2.13652242
1.31918808,-1.31918808,-2.13652242
-1.31918808,1.31918808,-2.13652242
-3.67997509,0,0.15689132
3.67997508,0,0.15689132
0,-3.67997509,0.15689134
